File,Source,License,Modifications
flag-abkhazia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Republic_of_Abkhazia.svg,PD,
flag-afghanistan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_Taliban.svg,PD,
flag-aland_islands.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Aland_Islands.svg,PD,
flag-albania.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Albania.svg,PD,
flag-algeria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Algeria.svg,PD,
flag-andorra.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Andorra.svg,PD,
flag-angola.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Angola.svg,PD,
flag-antigua_and_barbuda.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Antigua_and_Barbuda.svg,PD,
flag-argentina.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Argentina.svg,PD,
flag-armenia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Armenia.svg,PD,
flag-aruba.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Aruba.svg,PD,
flag-australia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Australia.svg,PD,
flag-austria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Austria.svg,PD,
flag-azerbaijan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Azerbaijan.svg,PD,
flag-bahrain.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bahrain.svg,PD,
flag-bangladesh.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bangladesh.svg,PD,
flag-barbados.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Barbados.svg,PD,
flag-belarus.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belarus.svg,PD,
flag-belgium.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belgium.svg,PD,
flag-belize.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Belize.svg,PD,
flag-benin.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Benin.svg,PD,
flag-bhutan.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bhutan.svg,PD,
flag-bolivia-blur.svg,https://commons.wikimedia.org/wiki/File:Bandera_de_Bolivia_(Estado).svg,PD,Inkscape Gaussian blur of 15
flag-bolivia.svg,https://commons.wikimedia.org/wiki/File:Bandera_de_Bolivia_(Estado).svg,PD,
flag-bosnia_and_herzegovina.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bosnia_and_Herzegovina.svg,PD,
flag-botswana.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Botswana.svg,PD,
flag-brazil.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Brazil.svg,PD,
flag-brunei.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Brunei.svg,CC0 1.0,
flag-bulgaria.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Bulgaria.svg,PD,
flag-burkina_faso.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Burkina_Faso.svg,PD,
flag-burundi.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Burundi.svg,PD,
flag-cambodia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cambodia.svg,PD,
flag-cameroon.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cameroon.svg,PD,
flag-canada.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Canada.svg,PD,
flag-cape_verde.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Cape_Verde.svg,PD,
flag-central_african_republic.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Central_African_Republic.svg,PD,
flag-chad.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Chad.svg,PD,
flag-chile.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Chile.svg,PD,
flag-china.svg,https://commons.wikimedia.org/wiki/File:Flag_of_the_People%27s_Republic_of_China.svg,PD,
flag-colombia.svg,https://commons.wikimedia.org/wiki/File:Flag_of_Colombia.svg,PD,
