country,stable_id,flag_media_id,map_media_id
England,note.england,media.flag.england,media.map.england
Scotland,note.scotland,media.flag.scotland,media.map.scotland
United Kingdom,note.united-kingdom,media.flag.united-kingdom,media.map.united-kingdom
Northern Ireland,note.northern-ireland,,media.map.northern-ireland
France,note.france,media.flag.france,media.map.france
Wales,note.wales,media.flag.wales,media.map.wales
Georgia,note.georgia,media.flag.georgia,media.map.georgia
Germany,note.germany,media.flag.germany,media.map.germany
Greece,note.greece,media.flag.greece,media.map.greece
Greenland,note.greenland,media.flag.greenland,media.map.greenland
Hungary,note.hungary,media.flag.hungary,media.map.hungary
Albania,note.albania,media.flag.albania,media.map.albania
Andorra,note.andorra,media.flag.andorra,media.map.andorra
Austria,note.austria,media.flag.austria,media.map.austria
Azerbaijan,note.azerbaijan,media.flag.azerbaijan,media.map.azerbaijan
Belarus,note.belarus,media.flag.belarus,media.map.belarus
Belgium,note.belgium,media.flag.belgium,media.map.belgium
Bosnia and Herzegovina,note.bosnia-and-herzegovina,media.flag.bosnia-and-herzegovina,media.map.bosnia-and-herzegovina
Bulgaria,note.bulgaria,media.flag.bulgaria,media.map.bulgaria
Croatia,note.croatia,media.flag.croatia,media.map.croatia
Czech Republic,note.czech-republic,media.flag.czech-republic,media.map.czech-republic
Denmark,note.denmark,media.flag.denmark,media.map.denmark
Estonia,note.estonia,media.flag.estonia,media.map.estonia
Faroe Islands,note.faroe-islands,media.flag.faroe-islands,media.map.faroe-islands
Finland,note.finland,media.flag.finland,media.map.finland
Iceland,note.iceland,media.flag.iceland,media.map.iceland
Ireland,note.ireland,media.flag.ireland,media.map.ireland
Italy,note.italy,media.flag.italy,media.map.italy
Latvia,note.latvia,media.flag.latvia,media.map.latvia
Liechtenstein,note.liechtenstein,media.flag.liechtenstein,media.map.liechtenstein
Lithuania,note.lithuania,media.flag.lithuania,media.map.lithuania
Luxembourg,note.luxembourg,media.flag.luxembourg,media.map.luxembourg
North Macedonia,note.north-macedonia,media.flag.north-macedonia,media.map.north-macedonia
Malta,note.malta,media.flag.malta,media.map.malta
Moldova,note.moldova,media.flag.moldova,media.map.moldova
Monaco,note.monaco,media.flag.monaco,media.map.monaco
Montenegro,note.montenegro,media.flag.montenegro,media.map.montenegro
Netherlands,note.netherlands,media.flag.netherlands,media.map.netherlands
Norway,note.norway,media.flag.norway,media.map.norway
Poland,note.poland,media.flag.poland,media.map.poland
Portugal,note.portugal,media.flag.portugal,media.map.portugal
Romania,note.romania,media.flag.romania,media.map.romania
Russia,note.russia,media.flag.russia,media.map.russia
San Marino,note.san-marino,media.flag.san-marino,media.map.san-marino
Serbia,note.serbia,media.flag.serbia,media.map.serbia
Slovakia,note.slovakia,media.flag.slovakia,media.map.slovakia
Slovenia,note.slovenia,media.flag.slovenia,media.map.slovenia
Spain,note.spain,media.flag.spain,media.map.spain
Sweden,note.sweden,media.flag.sweden,media.map.sweden
Switzerland,note.switzerland,media.flag.switzerland,media.map.switzerland
